Sl.no.,company_name,financial_health_revenue_growth,financial_health_profit_margins,financial_health_cash_flow,financial_health_debt_levels,financial_health_liquidity,market_position_market_share,market_position_competitive_advantage,market_position_brand_recognition,operational_efficiency_productivity,operational_efficiency_supply_chain_efficiency,operational_efficiency_cost_management,management_leadership_experience,management_leadership_vision_strategy,management_leadership_corporate_governance,customer_metrics_customer_satisfaction,customer_metrics_customer_retention,customer_metrics_market_reach,innovation_growth_RnD_investment,innovation_growth_product_pipeline,innovation_growth_scalability,human_resources_employee_satisfaction,human_resources_talent_acquisition,human_resources_training_development,risk_management_operational_risks,risk_management_compliance,risk_management_insurance,sustainability_social_environmental_impact,sustainability_social_social_responsibility,sustainability_social_ethical_practices,technology_digitalization_IT_infrastructure,technology_digitalization_digital_presence,technology_digitalization_cybersecurity,target
1,Elite Group Pvt. Ltd.,4.37086107,7.283455426,2.66619636,5.671736066,3.355351154,8.447670299,7.054326948,3.57867594,6.147962905,6.393693583,4.542719682,5.668730624,6.834312587,2.810577091,1.349195093,5.885903191,7.482411316,4.820435494,9.222202103,5.649978339,4.362767366,1.335284926,5.797275053,3.775195636,6.888756894,8.260432912,9.768858735,3.033880891,1.658575889,7.737030871,5.497032194,9.64540729,50.22008045
2,Pioneer Holdings PLC,9.556428758,5.824867297,5.877108526,5.312636899,3.222809192,7.880750152,8.170132575,8.223762811,8.248890964,5.623370697,5.260920934,1.460489558,2.551477259,1.720570623,2.680952754,8.496042354,7.18554704,3.783918019,5.728244336,7.624156315,3.996208866,1.23712599,2.241089396,8.960468813,1.720293128,1.148855044,1.154556916,6.907718208,1.805305447,9.119982579,7.720720953,7.195684028,50.01650796
3,Supreme Industries PLC,7.587945476,3.785748547,8.856512523,1.230778592,9.156291225,6.161760563,3.254211089,9.975141099,7.841448368,3.593660734,8.690926539,3.095727012,8.85155107,5.270078619,8.481212246,2.125800189,1.861787788,3.525720219,7.524192447,6.011599718,2.585385213,7.652122004,6.321186152,7.086103615,3.180968303,2.681271084,9.528864878,2.477952624,6.867763425,1.447904769,6.064001026,4.279314647,73.61317304
4,NextGen Solutions Inc. Ltd.,6.387926358,8.324155177,7.590023978,4.071230449,3.245915799,9.604424293,6.623866896,1.270234048,2.385099142,1.05817922,4.060039475,5.428015565,6.518046152,1.089723113,7.900915207,2.168046692,9.303151644,9.750067383,4.924434682,9.361187971,6.465400031,3.862087343,3.833070613,4.068247683,7.963114118,6.894147719,4.318096815,1.503822564,5.382466419,5.717003871,1.749723248,9.447402842,51.46468525
5,Pioneer Solutions Inc.,2.404167764,7.162580553,8.259050331,4.421760569,3.447547535,2.80427064,6.145713848,9.076292792,2.343245228,5.466152997,8.826847163,3.792117554,2.414834952,1.76289539,4.155784223,6.011365243,6.116249819,2.380283447,6.670311198,4.401715201,5.289617445,8.166701674,1.471138901,5.891809405,5.758172683,4.38183413,1.090813645,2.089141451,8.113737253,1.295518862,2.670222131,6.965227777,98.72662768
6,Innovative Group Corp.,2.403950683,2.463552454,6.9290503,4.589405028,7.834584362,1.983377893,8.495473391,6.603674802,3.41356931,3.570633897,1.793209879,2.63587238,9.661042517,8.268632826,4.39129565,9.51740788,4.27352969,7.599951178,4.065183437,5.173082252,8.791308931,4.885595415,9.537905419,8.56482292,9.351721556,9.84234386,7.202415086,9.369863048,9.246437536,5.215685905,2.973953656,8.599001943,61.10325873
7,Global Group PLC,1.52275251,9.19834466,7.230489081,6.221551323,5.047658582,8.685657703,9.154783544,9.760443572,4.249672537,7.611474706,7.991185935,5.537195577,5.66528917,7.943260104,5.801989902,4.734979825,7.808847251,1.003692605,3.710431178,1.796700837,1.288986224,5.076982907,6.773413322,8.950314682,4.858762675,6.988643134,9.824862736,5.965757946,4.495301899,8.967545462,3.320778283,7.892670736,73.63323647
8,Dynamic Group Inc. Ltd.,8.795585312,8.402835186,8.642760864,5.802422921,7.990395013,4.95234835,1.109410943,5.185085658,4.676100233,1.215516387,8.627928697,3.905288141,1.656086067,9.236249384,1.002169042,3.942478902,3.316289126,6.365644025,6.204068076,6.480991999,6.794811348,5.615943423,8.892270387,2.443544875,8.828311292,9.608940179,9.690631506,8.167111979,6.367690239,4.254312398,6.088630528,4.412253842,53.0568815
9,Dynamic Solutions AG,6.410035106,9.54819922,3.24701208,6.471145835,1.588295418,8.622719688,7.066179272,8.626491375,7.117274952,6.263450302,2.636358876,3.322968789,6.64149614,8.690638923,3.171199024,6.460203909,7.241588533,9.243487036,5.483167068,3.593907716,7.866539907,7.417283107,7.084504045,4.056158271,5.040598937,2.813018335,2.448433101,3.993890508,5.50626965,9.39205379,5.535692018,5.308319808,76.10242081
10,Supreme Solutions Ltd.,7.3726532,7.531475575,5.404824673,7.883949354,5.388140743,9.037811847,1.466522192,1.561546617,1.510123889,9.473268138,4.873118791,5.175868757,3.278790163,7.148580069,2.874086277,9.374037405,1.357400868,3.591406847,6.215827322,2.442781356,7.835379123,3.461525792,4.212853229,4.017008622,9.813234508,8.775613253,2.631230255,6.333927831,9.834495901,6.675476245,2.828440345,2.675189389,68.99780626
